time,AM,AMP
283.40000000000003,0.5731227450377123,0.0016295063069725613
283.5,0.573176142216187,0.0016287289683315498
283.6,0.5732294973354799,0.0016279523860420753
283.7,0.5732828104448544,0.001627176559079957
283.8,0.5733360815934977,0.001626401486420903
283.90000000000003,0.5733893108305238,0.0016256271670421762
284.0,0.573442498204966,0.0016248535999235925
284.1,0.5734956437657878,0.0016240807840435245
284.2,0.5735487475618736,0.0016233087183865624
284.3,0.5736018096420298,0.0016225374019380734
284.40000000000003,0.5736548300549905,0.0016217668336836466
284.5,0.5737078088494162,0.0016209970126102036
284.6,0.5737607460738896,0.0016202279377095508
284.7,0.5738136417769195,0.0016194596079691648
284.8,0.5738664960069382,0.001618692022385515
284.90000000000003,0.5739193088123034,0.0016179251799544048
285.0,0.5739720802413003,0.0016171590796718593
285.1,0.5740248103421385,0.0016163937205363466
285.2,0.5740774991629524,0.0016156291015475555
285.3,0.574130146751804,0.0016148652217086168
285.40000000000003,0.5741827531566814,0.001614102080021218
285.5,0.5742353184254957,0.0016133396754947071
285.6,0.5742878426060892,0.001612578007133103
285.7,0.5743403257462265,0.001611817073947197
285.8,0.5743927678936015,0.001611056874945782
285.90000000000003,0.5744451690958293,0.0016102974091448674
286.0,0.5744975294004578,0.0016095386755569097
286.1,0.5745498488549633,0.0016087806731961418
286.2,0.5746021275067438,0.0016080234010805716
286.3,0.5746543654031269,0.0016072668582302052
286.40000000000003,0.5747065625913642,0.0016065110436693786
286.5,0.5747587191186432,0.0016057559564170987
286.6,0.5748108350320699,0.0016050015954992558
286.7,0.5748629103786848,0.001604247959939742
286.8,0.5749149452054514,0.0016034950487696653
286.90000000000003,0.5749669395592651,0.0016027428610163597
287.0,0.5750188934869498,0.001601991395709601
287.1,0.5750708070352512,0.001601240651885938
287.2,0.5751226802508482,0.0016004906285794762
287.3,0.5751745131803518,0.0015997413248237669
287.40000000000003,0.5752263058702954,0.001598992739659133
287.5,0.5752780583671442,0.0015982448721247877
287.6,0.5753297707172949,0.0015974977212593888
287.7,0.5753814429670692,0.0015967512861073674
287.8,0.5754330751627162,0.0015960055657150418
287.90000000000003,0.5754846673504221,0.001595260559126177
288.0,0.5755362195762947,0.0015945162653911993
288.1,0.5755877318863768,0.0015937726835585364
288.2,0.5756392043266394,0.0015930298126782816
288.3,0.5756906369429823,0.0015922876518038587
288.40000000000003,0.5757420297812365,0.0015915461999894687
288.5,0.5757933828871636,0.0015908054562905338
288.6,0.5758446963064553,0.001590065419765585
288.7,0.5758959700847334,0.001589326089472598
288.8,0.5759472042675471,0.001588587464476432
288.90000000000003,0.575998398900383,0.0015878495438358398
289.0,0.5760495540286543,0.0015871123266144593
289.1,0.576100669697706,0.0015863758118794813
289.2,0.5761517459528129,0.0015856399986985403
289.3,0.5762027828391828,0.0015849048861416026
289.40000000000003,0.5762537804019544,0.001584170473276858
289.5,0.5763047386861984,0.001583436759176604
289.6,0.5763556577369137,0.0015827037429172464
289.7,0.5764065375990387,0.0015819714235701943
289.8,0.5764573783174355,0.0015812398002141848
289.90000000000003,0.5765081799369015,0.001580508871928732
290.0,0.5765589425021675,0.0015797786377934608
290.1,0.5766096660578953,0.0015790490968878856
290.2,0.576660350648675,0.0015783202482987368
290.3,0.5767109963190367,0.0015775920911089703
290.40000000000003,0.5767616031134393,0.0015768646244048723
290.5,0.5768121710762758,0.0015761378472727294
290.6,0.5768627002518684,0.0015754117588057115
290.7,0.5769131906844782,0.0015746863580909931
290.8,0.5769636424182938,0.0015739616442237425
290.90000000000003,0.5770140554974396,0.0015732376162972406
291.0,0.5770644299659768,0.0015725142734048791
291.1,0.5771147658678936,0.0015717916146469335
291.2,0.5771650632471118,0.001571069639124012
291.3,0.5772153221474943,0.0015703483459329481
291.40000000000003,0.5772655426128345,0.0015696277341743503
291.5,0.5773157246868555,0.001568907802954267
291.6,0.5773658684132179,0.0015681885513785243
291.7,0.5774159738355192,0.0015674699785506174
291.8,0.5774660409972864,0.0015667520835794813
291.90000000000003,0.5775160699419829,0.0015660348655756051
292.0,0.5775660607130088,0.0015653183236484791
292.1,0.5776160133536956,0.001564602456910924
292.2,0.5776659279073133,0.0015638872644763158
292.3,0.5777158044170623,0.0015631727454613609
292.40000000000003,0.5777656429260805,0.0015624588989840982
292.5,0.577815443477443,0.001561745724159902
292.6,0.5778652061141567,0.001561033220110697
292.7,0.5779149308791666,0.0015603213859572973
292.8,0.5779646178153507,0.0015596102208232931
292.90000000000003,0.5780142669655243,0.0015588997238338287
293.0,0.5780638783724417,0.0015581898941102734
293.1,0.5781134520787852,0.0015574807307859873
293.2,0.5781629881271793,0.0015567722329875577
293.3,0.5782124865601853,0.0015560643998422385
293.40000000000003,0.5782619474202955,0.001555357230485943
293.5,0.5783113707499452,0.0015546507240490337
293.6,0.5783607565914979,0.0015539448796700883
293.7,0.578410104987261,0.0015532396964837991
293.8,0.578459415979477,0.0015525351736260795
293.90000000000003,0.5785086896103241,0.0015518313102365067
294.0,0.5785579259219168,0.001551128105456101
294.1,0.5786071249563091,0.0015504255584263271
294.2,0.5786562867554897,0.001549723668291536
294.3,0.5787054113613874,0.0015490224341954129
294.40000000000003,0.5787544988158636,0.0015483218552869715
294.5,0.5788035491607225,0.0015476219307118955
294.6,0.5788525624377056,0.0015469226596184216
294.7,0.5789015386884886,0.0015462240411583394
294.8,0.5789504779546862,0.001545526074484771
294.90000000000003,0.5789993802778547,0.001544828758750172
295.0,0.5790482456994839,0.0015441320931083302
