run_id,sim_time,pre_time,final_cost,alpha0,alpha1,V0,V1,k_ryr0,k_ryr1,k_ryr2,k_ryr3,Vm,km,gca,F,R,T,Jer,Ve,Ke,Vp,Kp,gamma,delta_SMC,k_RyR,Ca_SR,Ca_in_SMC,min_bound_1,max_bound_1,min_bound_2,max_bound_2,min_bound_3,max_bound_3,min_bound_4,max_bound_4,min_bound_5,max_bound_5,min_bound_6,max_bound_6,min_bound_7,max_bound_7,min_bound_8,max_bound_8,min_bound_9,max_bound_9,min_bound_10,max_bound_10,min_bound_11,max_bound_11,min_bound_12,max_bound_12,min_bound_13,max_bound_13,min_bound_14,max_bound_14,min_bound_15,max_bound_15,min_bound_16,max_bound_16,min_bound_17,max_bound_17,min_bound_18,max_bound_18,min_bound_19,max_bound_19,min_bound_20,max_bound_20,min_bound_21,max_bound_21,min_bound_22,max_bound_22,min_bound_23,max_bound_23,min_bound_24,max_bound_24
20250812_165755,2066.0,200.0,0.001062447,0.018339855,0.148516017,-60.0,-40.19991371,0.019766722,3.339843945,1.053660403,43.62115702,-66.87152019,8.97012791,16.72589624,96485.0,8345.0,310.0,0.052816524,27.64443471,0.693907851,4.560761698,0.401509363,51.02957437,0.002349911,3.060074273,27.5,0.116477,0.005,0.1,0.025,2.5,-60.0,-60.0,-40.2,-21.0,0.00072,0.072,0.0334,3.34,0.05,5.0,3.8,380.0,-67.0,-35.0,1.2,120.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,45.0,0.01,1.0,0.45,45.0,0.04,4.0,0.55,55.0,27.5,27.5,0.116477,0.116477,0.0001,0.01,0.5,50.0
20250812_183258,2066.0,266.0,0.000625378,0.005083498,0.50910297,-60.0,-28.06047415,0.008449707,3.337008751,1.383653838,24.9287006,-35.07799343,83.85919125,1.940776034,96485.0,8345.0,310.0,0.046677626,5.250608002,0.591175205,0.450081156,0.406936523,54.67344795,4.909174689,49.6454694,27.5,0.116477,0.005,0.1,0.025,2.5,-60.0,-60.0,-40.2,-21.0,0.00072,0.072,0.0334,3.34,0.05,5.0,3.8,380.0,-67.0,-35.0,1.2,120.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,45.0,0.01,1.0,0.45,45.0,0.04,4.0,0.55,55.0,27.5,27.5,0.116477,0.116477,0.05,5.0,0.5,50.0
20250812_185929,2066.0,266.0,0.000450423,0.019457778,0.206275199,-80.0,-21.07829209,0.032282946,3.265459609,1.927439475,38.67199958,-44.06288407,10.17373097,21.57114693,96485.0,8345.0,310.0,0.065081102,9.065065174,0.163316841,4.510848327,0.400085532,5.161763348,0.051178741,25.43651371,27.5,0.116477,0.005,0.1,0.025,2.5,-80.0,-80.0,-40.2,-21.0,0.00072,0.072,0.0334,3.34,0.05,5.0,3.8,380.0,-67.0,-35.0,1.2,120.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,45.0,0.01,1.0,0.45,45.0,0.04,4.0,0.55,55.0,27.5,27.5,0.116477,0.116477,0.005,0.5,0.5,50.0
20250812_201111,2066.0,266.0,0.00049884,0.005037223,0.612846459,-60.0,-22.86165385,0.019541901,2.914743227,0.297127182,150.4557809,-41.64736041,16.96177366,14.16749158,96485.0,8345.0,310.0,0.172205744,44.99538102,0.754445066,4.962747552,0.372055938,2.650265874,0.214258613,32.77551201,27.5,0.116477,0.005,0.1,0.025,2.5,-60.0,-60.0,-40.2,-21.0,0.00072,0.072,0.0334,3.34,0.05,5.0,3.8,380.0,-67.0,-35.0,1.2,120.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,45.0,0.01,1.0,0.45,45.0,0.04,4.0,1.2,120.0,27.5,27.5,0.116477,0.116477,0.005,0.5,0.5,50.0
20250812_232155,2066.0,266.0,0.000344284,0.005001659,0.055281557,-60.0,-21.0030474,0.055995737,0.036315691,4.954594181,8.351566714,-66.45422594,1.310036486,1.600882387,96485.0,8345.0,310.0,0.195172763,22.8828861,0.36667011,2.14934343,0.346484411,0.31809362,0.018113643,3.023302118,27.5,0.116477,0.005,0.1,0.025,2.5,-60.0,-60.0,-40.2,-21.0,0.00072,0.072,0.0334,3.34,0.05,5.0,3.8,380.0,-67.0,-35.0,1.2,120.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,45.0,0.01,1.0,0.45,45.0,0.04,4.0,0.1,10.0,27.5,27.5,0.116477,0.116477,0.005,0.5,0.5,50.0
20250812_233248,2060.0,200.0,1.173395577,0.005035243,0.237333206,-60.0,-39.49759741,0.01984886,0.250328771,0.964999955,44.41951848,-50.77046288,9.754068943,17.19896615,96485.0,8345.0,310.0,0.010027806,5.792227576,0.159147257,4.492432369,1.994915993,5.750307228,0.180493716,49.11275221,27.5,0.116477,0.005,0.1,0.025,2.5,-60.0,-60.0,-40.2,-21.0,0.00072,0.072,0.0334,3.34,0.05,5.0,3.8,380.0,-67.0,-35.0,1.2,120.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,45.0,0.01,1.0,0.45,45.0,0.04,4.0,0.1,10.0,27.5,27.5,0.116477,0.116477,0.005,0.5,0.5,50.0
20250813_131731,2066.0,266.0,0.000344284,0.005001659,0.055281557,-60.0,-21.0030474,0.055995737,0.036315691,4.954594181,8.351566714,-66.45422594,1.310036486,1.600882387,96485.0,8345.0,310.0,0.195172763,22.8828861,0.36667011,2.14934343,0.346484411,0.31809362,0.018113643,3.023302118,27.5,0.116477,0.005,0.1,0.025,2.5,-60.0,-60.0,-40.2,-21.0,0.00072,0.072,0.0334,3.34,0.05,5.0,3.8,380.0,-67.0,-35.0,1.2,120.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,45.0,0.01,1.0,0.45,45.0,0.04,4.0,0.1,10.0,27.5,27.5,0.116477,0.116477,0.005,0.5,0.5,50.0
20250813_153803,2066.0,266.0,0.0003467216425487,0.0050351233244209,0.059516236657749,-60.0,-21.00017595003088,0.0643327851713858,0.0334496969338254,4.998567952971041,13.70223978218682,-35.0000000075713,64.34923106583732,8.931793876913558,96485.0,8345.0,310.0,0.1999254034810069,21.1027558041262,0.2617588432518934,4.907238674041204,0.3773330932454477,0.3596817191225968,0.0060778873393334,4.415779729502179,82.49996397653385,0.3493725397524888,0.005,0.1,0.025,2.5,-60.0,-60.0,-40.2,-21.0,0.00072,0.072,0.0334,3.3400000000000003,0.05,5.0,3.8,380.0,-67.0,-35.0,1.2000000000000002,120.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,45.0,0.01,1.0,0.45,45.0,0.04,4.0,0.1,10.0,2.75,82.5,0.0116477,0.349431,0.005,0.5,0.5,50.0
20250813_155318,2060.0,200.0,1.1748333274245863,0.0050351688570562,0.2373365011274461,-60.0,-39.51898499278637,0.019847736168456,0.2506496824476853,0.9655406098172342,44.424410522529776,-50.779542255438486,9.74935889494931,17.19500247455759,96485.0,8345.0,310.0,0.0100260821446776,5.789133382834351,0.1591316352208771,4.492123417003029,1.995714759231044,5.751246646155754,0.1829458778549144,49.111095933193,82.4851761746538,0.3493300178421143,0.005,0.1,0.025,2.5,-60.0,-60.0,-40.2,-21.0,0.00072,0.072,0.0334,3.3400000000000003,0.05,5.0,3.8,380.0,-67.0,-35.0,1.2000000000000002,120.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,45.0,0.01,1.0,0.45,45.0,0.04,4.0,0.1,10.0,22.0,82.5,0.0931816,0.349431,0.005,0.5,0.5,50.0
20250813_181918,2060.0,200.0,0.0004208665447346,0.0050372984044514,0.2058047198818003,-60.0,-32.69367428557689,0.071999285403605,0.5802367451469894,0.5194771542531211,36.8583176777906,-45.678270420929664,5.994757765079268,14.26239188568636,96485.0,8345.0,310.0,0.0167415394165166,44.91060187877608,0.3743900681787437,3.829905314967627,0.3990707300189198,9.488281265479811,0.0457729918875889,12.414452283128671,82.49995303695495,0.3493925953814766,0.005,0.1,0.025,2.5,-60.0,-60.0,-40.2,-21.0,0.00072,0.072,0.0334,3.3400000000000003,0.05,5.0,3.8,380.0,-67.0,-35.0,1.2000000000000002,120.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,45.0,0.01,1.0,0.45,45.0,0.04,4.0,0.55,55.0,22.0,82.5,0.0931816,0.349431,0.005,0.5,0.5,50.0
20250813_221422,2066.0,266.0,0.0005537411300997,0.012820922051743,0.0777174978261794,-60.0,-23.81914235099861,0.0007208678596385,1.3169665014918457,0.6470863400562489,343.6286031454175,-59.98485429912565,7.103381241566761,23.19067580870633,88419193.08979262,8088316.062944543,30993.536993672733,0.1999994664029019,5.585913660599343,0.9818224418305224,0.5240771444502675,0.5266173945906378,9.576221799826529,0.2516842122777201,19.37328089418155,27.49994364805421,0.116433479049623,0.005,0.1,0.025,2.5,-60.0,-60.0,-40.2,-21.0,0.00072,0.072,0.0334,3.3400000000000003,0.05,5.0,3.8,380.0,-60.0,-35.0,1.2000000000000002,120.0,1.6,160.0,96.485,96485000.0,8.345,8345000.0,3.1,31000.0,0.01,0.2,0.45,45.0,0.01,1.0,0.45,45.0,0.04,4.0,0.55,55.0,2.75,27.5,0.0116477,0.116477,0.005,0.5,0.5,50.0
20250814_191826,2066.0,266.0,0.0004747002222768,0.0179648616640777,0.203593041019546,-60.0,-28.89277040414096,0.0079774594827923,0.724114206554063,2.245625479703249,8.247617432735415,-46.88259116565761,10.01261406698296,16.27020299267893,96485.0,8345.0,310.0,0.1517119872421261,4.341799310282698,0.2595463746737875,3.728918634188648,0.3994082786796077,4.626098584603811,0.0457606337130503,32.03922872294156,27.5,0.116477,0.005,0.1,0.025,2.5,-60.0,-60.0,-40.2,-21.0,0.00072,0.072,0.0334,3.3400000000000003,0.05,5.0,3.8,380.0,-60.0,-35.0,1.2000000000000002,120.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,45.0,0.01,1.0,0.45,45.0,0.04,4.0,0.55,55.0,27.5,27.5,0.116477,0.116477,0.005,0.5,0.5,50.0
20250814_205111,2066.0,266.0,0.0004747002222768,0.0179648616640777,0.203593041019546,-60.0,-28.89277040414096,0.0079774594827923,0.724114206554063,2.245625479703249,8.247617432735415,-46.88259116565761,10.01261406698296,16.27020299267893,96485.0,8345.0,310.0,0.1517119872421261,4.341799310282698,0.2595463746737875,3.728918634188648,0.3994082786796077,4.626098584603811,0.0457606337130503,32.03922872294156,27.5,0.116477,0.005,0.1,0.025,2.5,-60.0,-60.0,-40.2,-21.0,0.00072,0.072,0.0334,3.3400000000000003,0.05,5.0,3.8,380.0,-60.0,-35.0,1.2000000000000002,120.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,45.0,0.01,1.0,0.45,45.0,0.04,4.0,0.55,55.0,27.5,27.5,0.116477,0.116477,0.005,0.5,0.5,50.0
20250815_122642,2066.0,266.0,0.0004504828430463657,0.018129452124291148,0.2531835513595649,-60.0,-28.963088866527723,0.21307050045692813,3.3317647463354048,1.0669433225253675,55.846486910770565,-49.50382491859105,11.368552177320925,15.810262244417052,96485.0,8345.0,310.0,0.072955554859602,35.01559900891883,0.15919313447328728,4.4874478688450825,0.40007697809394094,5.949152024295033,0.049461699881864066,10.135260995817475,22.18397,0.193737,0.005000000000000001,0.1,0.025,2.5,-60.0,-60.0,-40.2,-21.0,0.010000000000000002,1.0,0.033400000000000006,3.3400000000000003,0.05,5.0,3.8000000000000003,380.0,-60.0,-35.0,1.2000000000000002,120.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.010000000000000002,0.2,0.45,45.0,0.010000000000000002,1.0,0.45,45.0,0.04000000000000001,4.0,0.55,55.0,22.18397,22.18397,0.193737,0.193737,0.005000000000000001,0.5,0.5,50.0
